Well_ID,Operator,Region,Well_Type,Formation,Latitude,Longitude,Spud_Date,Completion_Date,TVD_Depth_m,Status,Initial_Production_boe_d,Current_Production_boe_d,Water_Cut_pct,Royalty_Rate_pct,Cumulative_Oil_bbl,Cumulative_Gas_mcf,Cumulative_Water_bbl
AB-100000,Suncor Energy,Grande Prairie,Oil Sands,Duvernay,55.5606,-118.768,2004-10-19,2005-01-16,392.3,Producing,42.8,0.2,74.5,39.7,256961.0,153.0,354509.0
AB-100001,Imperial Oil,Grande Prairie,Oil Sands,Viking,55.2739,-119.4535,2018-09-07,2018-10-09,1500.5,Abandoned,38.9,0.0,75.7,20.31,47227.0,2388.0,130120.0
AB-100002,Cenovus Energy,Grande Prairie,Gas,McMurray,55.0494,-118.9799,2019-02-26,2019-04-25,2316.9,Producing,77.8,29.9,51.6,33.32,1784.0,4991.0,1214.0
AB-100003,Suncor Energy,Athabasca,Oil,Duvernay,57.9306,-111.7019,2008-03-17,2008-08-14,565.9,Suspended,55.3,0.0,50.1,3.48,213177.0,641.0,251121.0
AB-100004,Imperial Oil,Medicine Hat,Oil,Montney,50.421,-110.8222,2011-03-01,2011-03-20,2846.8,Producing,90.4,3.1,54.8,25.82,298676.0,576.0,290638.0
AB-100005,Athabasca Oil Corp,Peace River,Oil Sands,Cardium,56.6948,-116.6195,2022-05-06,2022-06-17,1813.3,Abandoned,72.8,0.0,65.8,9.89,70491.0,407.0,176837.0
AB-100006,Crescent Point Energy,Medicine Hat,Oil,Colorado Group,50.1575,-110.8661,2016-10-12,2017-03-27,1687.1,Producing,95.9,7.9,58.2,20.39,189553.0,162.0,83212.0
AB-100007,Suncor Energy,Athabasca,Gas,Duvernay,57.5859,-110.9789,2023-06-23,2023-09-13,3524.3,Producing,128.4,77.6,31.8,32.14,754.0,4127.0,1260.0
AB-100008,Crescent Point Energy,Grande Prairie,Gas,Montney,55.3421,-119.4834,2016-04-07,2016-06-12,1699.6,Producing,116.2,5.3,60.8,28.14,1143.0,229.0,3417.0
AB-100009,Suncor Energy,Peace River,Oil Sands,Colorado Group,56.1887,-117.2211,2013-03-20,2013-09-02,1883.3,Producing,120.0,2.0,68.1,12.07,329896.0,116.0,531515.0
AB-100010,Cenovus Energy,Lloydminster,Oil,Duvernay,52.9346,-109.7015,2018-04-24,2018-09-13,2407.1,Producing,158.0,27.0,81.3,39.18,310933.0,120.0,387177.0
AB-100011,Baytex Energy,Athabasca,Oil,Viking,56.4881,-110.9163,2000-01-17,2000-07-07,2410.5,Orphan,59.6,0.0,98.0,13.36,276707.0,15.0,499004.0
AB-100012,Imperial Oil,Peace River,Oil Sands,McMurray,56.5701,-117.4028,2019-07-02,2019-11-20,2540.2,Suspended,69.8,0.0,21.1,32.59,153457.0,154.0,253832.0
AB-100013,Whitecap Resources,Medicine Hat,Gas,Duvernay,50.3571,-110.488,1999-02-23,1999-06-03,2410.3,Producing,46.0,1.7,,33.29,1358.0,178.0,3946.0
AB-100014,Cenovus Energy,Medicine Hat,Gas,Bakken,49.8362,-110.7749,2020-08-20,2021-01-25,1810.6,Producing,99.3,20.0,68.4,38.54,4180.0,937.0,3210.0
AB-100015,Imperial Oil,Cold Lake,Oil,Montney,54.1918,-110.4343,2010-05-01,2010-05-31,2962.9,Producing,295.9,4.7,73.6,14.33,806146.0,209.0,446786.0
AB-100016,Canadian Natural Resources,Grande Prairie,Heavy Oil,Cardium,54.8137,-118.7366,2001-01-05,2001-02-11,1572.9,Producing,106.9,0.0,98.0,37.81,931049.0,249.0,2292768.0
AB-100017,Canadian Natural Resources,Grande Prairie,Heavy Oil,Cardium,54.9028,-118.6888,2009-03-01,2009-08-23,2448.4,Suspended,30.1,0.0,49.6,26.57,117318.0,78.0,251102.0
AB-100018,Whitecap Resources,Athabasca,Gas,McMurray,57.2401,-110.9607,2008-08-04,2008-09-08,1835.5,Producing,104.1,1.6,83.4,23.64,4336.0,299.0,9259.0
AB-100019,Crescent Point Energy,Peace River,Gas,Duvernay,56.1031,-116.5974,2013-09-22,2014-02-24,2054.1,Abandoned,52.3,0.0,44.5,18.49,1466.0,7279.0,1741.0
AB-100020,Crescent Point Energy,Lloydminster,Oil,Clearwater,53.2749,-109.6473,2007-10-07,2008-03-11,337.0,Abandoned,328.1,0.0,59.3,28.34,993416.0,343.0,516220.0
AB-100021,Athabasca Oil Corp,Peace River,Heavy Oil,Bakken,56.5813,-116.6369,2014-07-25,2014-09-22,2410.8,Suspended,10.7,0.0,81.4,19.28,20325.0,33.0,12618.0
AB-100022,Obsidian Energy,Athabasca,Gas,Colorado Group,57.7026,-111.6437,2014-09-24,2015-03-18,1956.9,Producing,67.4,5.0,49.2,18.73,3138.0,11031.0,1326.0
AB-100023,Crescent Point Energy,Medicine Hat,Oil,Bakken,50.119,-110.7039,2001-10-08,2001-12-21,1928.3,Producing,90.7,7.6,96.3,36.53,718420.0,636.0,2057886.0
AB-100024,Crescent Point Energy,Athabasca,Heavy Oil,Clearwater,57.0456,-110.6009,2010-05-23,2010-07-09,1724.4,Orphan,263.6,0.0,38.7,3.48,664770.0,206.0,1158517.0
AB-100025,Baytex Energy,Peace River,Heavy Oil,Cardium,56.5554,-116.731,2007-03-17,2007-06-24,1460.9,Producing,74.3,8.3,62.1,5.43,411622.0,1498.0,701746.0
AB-100026,Cenovus Energy,Peace River,Heavy Oil,Colorado Group,56.3078,-116.6836,2022-01-16,2022-03-18,2777.8,Suspended,46.9,0.0,38.5,25.83,53685.0,216.0,95457.0
AB-100027,Baytex Energy,Grande Prairie,Oil Sands,Colorado Group,55.0384,-118.9764,2001-10-24,2002-04-01,1482.3,Producing,94.2,2.5,61.1,3.96,404837.0,17.0,261413.0
AB-100028,Cenovus Energy,Grande Prairie,Heavy Oil,Viking,54.9455,-119.1543,2000-11-18,2001-02-01,,Producing,32.7,2.3,92.1,20.63,240917.0,52.0,640517.0
AB-100029,Obsidian Energy,Grande Prairie,Oil,Clearwater,55.445,-118.7517,2012-08-22,2012-09-19,1949.8,Producing,293.1,24.6,44.7,20.96,1057810.0,34.0,623436.0
AB-100030,Suncor Energy,Peace River,Oil Sands,Viking,56.3972,-117.3951,2007-07-25,2007-08-25,1347.4,Producing,25.2,0.1,81.2,4.39,124888.0,1458.0,183021.0
AB-100031,MEG Energy,Athabasca,Oil Sands,Montney,56.8436,-110.6505,2021-11-13,2022-03-28,2177.2,Producing,44.2,27.9,41.5,35.97,31406.0,41.0,53899.0
AB-100032,Cenovus Energy,Grande Prairie,Oil Sands,Viking,55.5978,-118.6034,2008-04-15,2008-09-10,1793.8,Suspended,100.1,0.0,50.1,9.0,630110.0,38.0,1441607.0
