Operator,HQ_City,Founded_Year,Employee_Count,Market_Cap_CAD_Billions,Primary_Focus
Cenovus Energy,Calgary,2009,2600,55.2,Oil Sands
Canadian Natural Resources,Calgary,1973,10000,95.8,Diversified
Suncor Energy,Calgary,1917,12000,68.4,Oil Sands
Imperial Oil,Calgary,1880,5300,45.1,Diversified
Crescent Point Energy,Calgary,1994,700,4.2,Light Oil
Baytex Energy,Calgary,1993,600,3.1,Heavy Oil
Whitecap Resources,Calgary,2008,450,5.6,Light Oil
MEG Energy,Calgary,1999,650,6.3,Oil Sands
Athabasca Oil Corp,Calgary,2006,300,1.8,Oil Sands
Obsidian Energy,Calgary,1993,250,0.9,Heavy Oil
